id,marca,modelo,tipo,is_derco,marca_modelo,tipo_gpt
151,chevrolet,suburban,station wagon,False,chevrolet suburban,SUV
152,chevrolet,tahoe,station wagon,False,chevrolet tahoe,SUV
153,chevrolet,tracker,station wagon,False,chevrolet tracker,SUV
154,chevrolet,trailblazer,station wagon,False,chevrolet trailblazer,SUV
155,chevrolet,traverse,station wagon,False,chevrolet traverse,SUV
156,chevrolet,trax,station wagon,False,chevrolet trax,SUV
157,chevrolet,trooper,jeep,False,chevrolet trooper,SUV
158,chevrolet,uplander,station wagon,False,chevrolet uplander,Station Wagon
159,chevrolet,van,furgon,False,chevrolet van,Van
160,chevrolet,vectra,automovil,False,chevrolet vectra,Sedan
161,chevrolet,venture,station wagon,False,chevrolet venture,Station Wagon
162,chevrolet,vivant,station wagon,False,chevrolet vivant,Sedan
163,chevrolet,volt,automovil,False,chevrolet volt,Hatchback
164,chevrolet,winstorm,station wagon,False,chevrolet winstorm,SUV
165,chevrolet,work truck,camioneta,False,chevrolet work truck,Station Wagon
166,chevrolet,zafira,station wagon,False,chevrolet zafira,Station Wagon
167,citroen,ax,automovil,False,citroen ax,Hatchback
168,citroen,berlingo,furgon,False,citroen berlingo,Station Wagon
169,citroen,c3,automovil,False,citroen c3,Hatchback
170,citroen,c4,automovil,False,citroen c4,Hatchback
171,citroen,c5,automovil,False,citroen c5,Sedan
172,citroen,ds3,automovil,False,citroen ds3,Hatchback
173,citroen,ds4,automovil,False,citroen ds4,Hatchback
174,citroen,ds5,automovil,False,citroen ds5,Hatchback
175,citroen,elysee,automovil,False,citroen elysee,Sedan
176,citroen,jumper,furgon,False,citroen jumper,Van
177,citroen,jumpy,furgon,False,citroen jumpy,Van
178,citroen,multispace,station wagon,False,citroen multispace,Station Wagon
179,citroen,nemo,furgon,False,citroen nemo,Hatchback
180,citroen,saxo,automovil,False,citroen saxo,Hatchback
181,citroen,xantia,automovil,False,citroen xantia,Sedan
182,citroen,xsara,automovil,False,citroen xsara,Hatchback
183,citroen,zx,automovil,False,citroen zx,Hatchback
184,daihatsu,applause,automovil,False,daihatsu applause,Hatchback
185,daihatsu,charade,automovil,False,daihatsu charade,Hatchback
186,daihatsu,cuore,automovil,False,daihatsu cuore,Hatchback
187,daihatsu,delta,station wagon,False,daihatsu delta,Hatchback
188,daihatsu,feroza,jeep,False,daihatsu feroza,SUV
189,daihatsu,giro,automovil,False,daihatsu giro,Hatchback
190,daihatsu,hi jet,station wagon,False,daihatsu hi jet,Hatchback
191,daihatsu,hijet,camioneta,False,daihatsu hijet,Van
192,daihatsu,mira,automovil,False,daihatsu mira,Hatchback
193,daihatsu,move,station wagon,False,daihatsu move,Hatchback
194,daihatsu,opti,automovil,False,daihatsu opti,Hatchback
195,daihatsu,rocky,jeep,False,daihatsu rocky,SUV
196,daihatsu,sirion,automovil,False,daihatsu sirion,Hatchback
197,daihatsu,storia,automovil,False,daihatsu storia,Hatchback
198,daihatsu,terios,station wagon,False,daihatsu terios,SUV
199,daihatsu,yrv,station wagon,False,daihatsu yrv,Hatchback
200,dfm,a30,automovil,False,dfm a30,Sedan
201,dfm,ax3,station wagon,False,dfm ax3,Hatchback
202,dfm,ax4,station wagon,False,dfm ax4,Sedan
203,dfm,ax5,station wagon,False,dfm ax5,SUV
204,dfm,ax7,station wagon,False,dfm ax7,Sedan
205,dfm,h30,station wagon,False,dfm h30,Sedan
206,dfm,joyear,station wagon,False,dfm joyear,Sedan
207,dfm,m5,station wagon,False,dfm m5,Sedan
208,dfm,s30,automovil,False,dfm s30,Hatchback
209,dfm,s50,automovil,False,dfm s50,Sedan
210,dfm,s500,station wagon,False,dfm s500,Sedan
211,dfm,sx6,station wagon,False,dfm sx6,Sedan
212,dfsk,560,station wagon,False,dfsk 560,Sedan
213,dfsk,580,station wagon,False,dfsk 580,SUV
214,dfsk,cargo box,camioneta,False,dfsk cargo box,SUV
215,dfsk,cargo van,furgon,False,dfsk cargo van,Van
216,dfsk,truck,camioneta,False,dfsk truck,SUV
217,dodge,challenger,automovil,False,dodge challenger,Coupe
218,dodge,charger,automovil,False,dodge charger,Sedan
219,dodge,durango,station wagon,False,dodge durango,SUV
220,dodge,journey,station wagon,False,dodge journey,SUV
221,dodge,ram,camioneta,False,dodge ram,Station Wagon
222,dodge,van,furgon,False,dodge van,Van
223,dong feng,df2500,camioneta,False,dong feng df2500,SUV
224,dong feng,df2900,camioneta,False,dong feng df2900,SUV
225,faw,b50,automovil,False,faw b50,SUV
226,faw,b70,automovil,False,faw b70,Sedan
227,faw,d60,station wagon,False,faw d60,Sedan
228,faw,oley,automovil,False,faw oley,Sedan
229,faw,r7,station wagon,False,faw r7,Sedan
230,faw,t80,camioneta,False,faw t80,Sedan
231,faw,v2,automovil,False,faw v2,Hatchback
232,faw,v5,automovil,False,faw v5,Sedan
233,faw,v80,furgon,False,faw v80,Sedan
234,faw,vita,automovil,False,faw vita,Hatchback
235,faw,x80,station wagon,False,faw x80,SUV
236,fiat,500,automovil,False,fiat 500,Hatchback
237,fiat,595,automovil,False,fiat 595,Hatchback
238,fiat,argo,automovil,False,fiat argo,Hatchback
239,fiat,bravo,automovil,False,fiat bravo,Hatchback
240,fiat,cinquecento,automovil,False,fiat cinquecento,Hatchback
241,fiat,cronos,automovil,False,fiat cronos,Sedan
242,fiat,doblo,furgon,False,fiat doblo,Van
243,fiat,ducato,furgon,False,fiat ducato,Van
244,fiat,fiorino,furgon,False,fiat fiorino,Van
245,fiat,fullback,camioneta,False,fiat fullback,SUV
246,fiat,linea,automovil,False,fiat linea,Sedan
247,fiat,mobi,automovil,False,fiat mobi,Hatchback
248,fiat,palio,automovil,False,fiat palio,Hatchback
249,fiat,panda,automovil,False,fiat panda,Hatchback
250,fiat,pop,automovil,False,fiat pop,Hatchback
251,fiat,punto,automovil,False,fiat punto,Hatchback
252,fiat,qubo,station wagon,False,fiat qubo,Hatchback
253,fiat,siena,automovil,False,fiat siena,Sedan
254,fiat,strada,camioneta,False,fiat strada,Hatchback
255,fiat,tipo,automovil,False,fiat tipo,Hatchback
256,fiat,uno,automovil,False,fiat uno,Hatchback
257,ford,aerostar,station wagon,False,ford aerostar,Station Wagon
258,ford,bronco,jeep,False,ford bronco,SUV
259,ford,e350,furgon,False,ford e350,Van
260,ford,econoline,station wagon,False,ford econoline,Van
261,ford,ecosport,station wagon,False,ford ecosport,SUV
262,ford,edge,station wagon,False,ford edge,SUV
263,ford,escape,station wagon,False,ford escape,SUV
264,ford,escort,automovil,False,ford escort,Sedan
265,ford,expedition,station wagon,False,ford expedition,SUV
266,ford,explorer,station wagon,False,ford explorer,SUV
267,ford,f150,camioneta,False,ford f150,Station Wagon
268,ford,f250,camioneta,False,ford f250,Station Wagon
269,ford,f350,camioneta,False,ford f350,Station Wagon
270,ford,f450,camioneta,False,ford f450,Station Wagon
271,ford,f550,camioneta,False,ford f550,Station Wagon
272,ford,fiesta,automovil,False,ford fiesta,Hatchback
273,ford,focus,automovil,False,ford focus,Sedan
274,ford,fusion,automovil,False,ford fusion,Sedan
275,ford,ghia,automovil,False,ford ghia,Sedan
276,ford,mustang,automovil,False,ford mustang,Coupe
277,ford,ranger,camioneta,False,ford ranger,Station Wagon
278,ford,taurus,automovil,False,ford taurus,Sedan
279,ford,territory,station wagon,False,ford territory,SUV
280,ford,transit van,furgon,False,ford transit van,Van
281,foton,ft500,camioneta,False,foton ft500,SUV
282,foton,k1,furgon,False,foton k1,SUV
283,foton,midi,camioneta,False,foton midi,Hatchback
284,foton,midi truck,camioneta,False,foton midi truck,Station Wagon
285,foton,terracota,camioneta,False,foton terracota,SUV
286,foton,tm3,camioneta,False,foton tm3,Sedan
287,gac gonow,way,camioneta,False,gac gonow way,SUV
288,geely,ck,automovil,True,geely ck,Sedan
289,geely,emgrand,automovil,True,geely emgrand,Sedan
290,geely,emgrand7,automovil,True,geely emgrand7,Sedan
291,geely,gs,automovil,True,geely gs,Sedan
292,geely,lc,automovil,True,geely lc,Hatchback
293,geely,x7,station wagon,True,geely x7,SUV
294,gm daewoo,brougham,automovil,False,gm daewoo brougham,Sedan
295,gm daewoo,cielo,automovil,False,gm daewoo cielo,Sedan
296,gm daewoo,espero,automovil,False,gm daewoo espero,Sedan
297,gm daewoo,heaven,automovil,False,gm daewoo heaven,Sedan
298,gm daewoo,korando,jeep,False,gm daewoo korando,SUV
299,gm daewoo,labo,camioneta,False,gm daewoo labo,Hatchback
300,gm daewoo,lanos,automovil,False,gm daewoo lanos,Sedan
301,gm daewoo,leganza,automovil,False,gm daewoo leganza,Sedan
302,gm daewoo,lemans,automovil,False,gm daewoo lemans,Sedan
303,gm daewoo,matiz,automovil,False,gm daewoo matiz,Hatchback
304,gm daewoo,musso,station wagon,False,gm daewoo musso,SUV
305,gm daewoo,nexia,automovil,False,gm daewoo nexia,Sedan
306,gm daewoo,nubira,automovil,False,gm daewoo nubira,Sedan
307,gm daewoo,pointer,automovil,False,gm daewoo pointer,Sedan
308,gm daewoo,prince,automovil,False,gm daewoo prince,Sedan
309,gm daewoo,racer,automovil,False,gm daewoo racer,Hatchback
310,gm daewoo,rezzo,station wagon,False,gm daewoo rezzo,SUV
311,gm daewoo,tico,automovil,False,gm daewoo tico,Hatchback
312,great wall,3,station wagon,True,great wall 3,SUV
313,great wall,6,station wagon,True,great wall 6,SUV
314,great wall,m4,automovil,True,great wall m4,SUV
315,great wall,poer,camioneta,True,great wall poer,SUV
316,great wall,voleex,automovil,True,great wall voleex,SUV
317,great wall,wingle,camioneta,True,great wall wingle,SUV
318,great wall,wingle5,camioneta,True,great wall wingle5,SUV
319,great wall,wingle6,camioneta,True,great wall wingle6,SUV
320,great wall,wingle7,camioneta,True,great wall wingle7,SUV
321,haval,h2,station wagon,True,haval h2,SUV
322,haval,h6,station wagon,True,haval h6,SUV
323,haval,h7,station wagon,True,haval h7,SUV
324,honda,accord,automovil,False,honda accord,Sedan
325,honda,acty,camioneta,False,honda acty,Hatchback
326,honda,acura,automovil,False,honda acura,Sedan
327,honda,city,automovil,False,honda city,Sedan
328,honda,civic,automovil,False,honda civic,Sedan
329,honda,crv,station wagon,False,honda crv,SUV
330,honda,crx,automovil,False,honda crx,Hatchback
331,honda,edix,station wagon,False,honda edix,Hatchback
332,honda,fit,station wagon,False,honda fit,Hatchback
333,honda,hrv,station wagon,False,honda hrv,SUV
334,honda,integra,automovil,False,honda integra,Coupe
335,honda,legend,automovil,False,honda legend,Sedan
336,honda,odyssey,station wagon,False,honda odyssey,Station Wagon
337,honda,passport,station wagon,False,honda passport,SUV
338,honda,pilot,station wagon,False,honda pilot,SUV
339,honda,prelude,automovil,False,honda prelude,Coupe
340,honda,ridgeline,camioneta,False,honda ridgeline,Station Wagon
341,honda,stream,station wagon,False,honda stream,Station Wagon
342,hyundai,accent,automovil,False,hyundai accent,Sedan
343,hyundai,atos,automovil,False,hyundai atos,Hatchback
344,hyundai,azera,automovil,False,hyundai azera,Sedan
345,hyundai,county,furgon,False,hyundai county,Station Wagon
346,hyundai,creta,station wagon,False,hyundai creta,SUV
347,hyundai,elantra,automovil,False,hyundai elantra,Sedan
348,hyundai,eon,automovil,False,hyundai eon,Hatchback
349,hyundai,equus,automovil,False,hyundai equus,Sedan
350,hyundai,galloper,station wagon,False,hyundai galloper,SUV
351,hyundai,genesis,automovil,False,hyundai genesis,Sedan
352,hyundai,grace,furgon,False,hyundai grace,Sedan
353,hyundai,h1,furgon,False,hyundai h1,Van
354,hyundai,hd35,camioneta,False,hyundai hd35,Van
355,hyundai,i10,automovil,False,hyundai i10,Hatchback
356,hyundai,i20,automovil,False,hyundai i20,Hatchback
357,hyundai,i30,automovil,False,hyundai i30,Hatchback
358,hyundai,i40,station wagon,False,hyundai i40,Sedan
359,hyundai,ioniq,automovil,False,hyundai ioniq,Hatchback
360,hyundai,kona,station wagon,False,hyundai kona,SUV
361,hyundai,palisade,station wagon,False,hyundai palisade,SUV
362,hyundai,porter,camioneta,False,hyundai porter,Van
363,hyundai,santa fe,station wagon,False,hyundai santa fe,SUV
364,hyundai,solati,furgon,False,hyundai solati,Sedan
365,hyundai,sonata,automovil,False,hyundai sonata,Sedan
366,hyundai,terracan,station wagon,False,hyundai terracan,SUV
367,hyundai,tucson,station wagon,False,hyundai tucson,SUV
368,hyundai,veloster,automovil,False,hyundai veloster,Hatchback
369,hyundai,venue,station wagon,False,hyundai venue,SUV
370,hyundai,veracruz,station wagon,False,hyundai veracruz,SUV
371,hyundai,verna,automovil,False,hyundai verna,Sedan
372,infiniti,q50,automovil,False,infiniti q50,Sedan
373,infiniti,q60,automovil,False,infiniti q60,Coupe
374,infiniti,q70,automovil,False,infiniti q70,Sedan
375,infiniti,qx30,station wagon,False,infiniti qx30,SUV
376,infiniti,qx50,station wagon,False,infiniti qx50,SUV
377,infiniti,qx60,station wagon,False,infiniti qx60,SUV
378,infiniti,qx70,station wagon,False,infiniti qx70,SUV
379,infiniti,qx80,station wagon,False,infiniti qx80,SUV
380,jac,hfc,camioneta,False,jac hfc,SUV
381,jac,j2,automovil,False,jac j2,Sedan
382,jac,j4,automovil,False,jac j4,Sedan
383,jac,j6,station wagon,False,jac j6,SUV
384,jac,refine,furgon,False,jac refine,Sedan
385,jac,s1,automovil,False,jac s1,Hatchback
386,jac,s2,station wagon,False,jac s2,SUV
387,jac,s3,station wagon,False,jac s3,SUV
388,jac,s4,automovil,False,jac s4,Sedan
389,jac,s5,station wagon,False,jac s5,SUV
390,jac,sunray,furgon,False,jac sunray,SUV
391,jac,t6,camioneta,False,jac t6,SUV
392,jac,t8,camioneta,False,jac t8,SUV
393,jac,x200,camioneta,False,jac x200,SUV
394,jaguar,f type,automovil,False,jaguar f type,Coupe
395,jaguar,xe,automovil,False,jaguar xe,Sedan
396,jaguar,xf,automovil,False,jaguar xf,Sedan
397,jaguar,xj,automovil,False,jaguar xj,Sedan
398,jeep,cherokee,station wagon,False,jeep cherokee,SUV
399,jeep,compass,station wagon,False,jeep compass,SUV
400,jeep,renegade,station wagon,False,jeep renegade,SUV
401,jeep,wrangler,station wagon,False,jeep wrangler,SUV
402,jmc,vigus,camioneta,False,jmc vigus,SUV
403,kia,avella,automovil,False,kia avella,Sedan
404,kia,besta,furgon,False,kia besta,Van
405,kia,bongo,camioneta,False,kia bongo,Van
406,kia,cadenza,automovil,False,kia cadenza,Sedan
407,kia,carens,station wagon,False,kia carens,Station Wagon
408,kia,carnival,station wagon,False,kia carnival,Station Wagon
409,kia,cerato,automovil,False,kia cerato,Sedan
410,kia,ceres,camioneta,False,kia ceres,Sedan
411,kia,frontier,camioneta,False,kia frontier,SUV
412,kia,k5,automovil,False,kia k5,Sedan
413,kia,mohave,station wagon,False,kia mohave,SUV
414,kia,morning,automovil,False,kia morning,Hatchback
415,kia,niro,station wagon,False,kia niro,Hatchback
416,kia,optima,automovil,False,kia optima,Sedan
417,kia,pride,automovil,False,kia pride,Hatchback
418,kia,quoris,automovil,False,kia quoris,Sedan
419,kia,retona,station wagon,False,kia retona,SUV
420,kia,rio,automovil,False,kia rio,Hatchback
421,kia,seltos,station wagon,False,kia seltos,SUV
422,kia,sephia,automovil,False,kia sephia,Sedan
423,kia,soluto,automovil,False,kia soluto,Sedan
424,kia,sorento,station wagon,False,kia sorento,SUV
425,kia,soul,station wagon,False,kia soul,Hatchback
426,kia,spectra,automovil,False,kia spectra,Sedan
427,kia,sportage,station wagon,False,kia sportage,SUV
428,kia,stinger,automovil,False,kia stinger,Sedan
429,lada,granta,automovil,False,lada granta,Sedan
430,lada,kalina,station wagon,False,lada kalina,Sedan
431,lada,largus,furgon,False,lada largus,Station Wagon
432,lada,niva,jeep,False,lada niva,SUV
433,land rover,defender,station wagon,False,land rover defender,SUV
434,land rover,discovery,station wagon,False,land rover discovery,SUV
435,land rover,evoque,station wagon,False,land rover evoque,SUV
436,land rover,range rover,station wagon,False,land rover range rover,SUV
437,lexus,es,automovil,False,lexus es,Sedan
438,lexus,gs,automovil,False,lexus gs,Sedan
439,lexus,is,automovil,False,lexus is,Sedan
440,lexus,lx,station wagon,False,lexus lx,SUV
441,lexus,rc,automovil,False,lexus rc,Coupe
442,lexus,rx,station wagon,False,lexus rx,SUV
443,lexus,ux,automovil,False,lexus ux,SUV
444,lifan,530,automovil,False,lifan 530,Sedan
445,lifan,630,automovil,False,lifan 630,Sedan
446,lifan,cargo,furgon,False,lifan cargo,Station Wagon
447,lifan,lf van,station wagon,False,lifan lf van,Van
448,lifan,truck,camioneta,False,lifan truck,Station Wagon
449,lifan,x50,station wagon,False,lifan x50,SUV
450,lifan,x60,station wagon,False,lifan x60,SUV
451,lifan,x7,station wagon,False,lifan x7,SUV
452,lifan,x70,station wagon,False,lifan x70,SUV
453,mahindra,genio,camioneta,False,mahindra genio,SUV
454,mahindra,kuv100,automovil,False,mahindra kuv100,SUV
455,mahindra,pick up,camioneta,False,mahindra pick up,Station Wagon
456,mahindra,pik up,camioneta,False,mahindra pik up,SUV
457,mahindra,quanto,jeep,False,mahindra quanto,SUV
458,mahindra,scorpio,station wagon,False,mahindra scorpio,SUV
459,mahindra,xuv500,station wagon,False,mahindra xuv500,SUV
460,maxus,c35,camioneta,False,maxus c35,SUV
461,maxus,ev30,furgon,False,maxus ev30,Hatchback
462,maxus,g10,furgon,False,maxus g10,Van
463,maxus,t60,camioneta,False,maxus t60,SUV
464,maxus,v80,camioneta,False,maxus v80,Van
465,mazda,2,automovil,True,mazda 2,Hatchback
466,mazda,3,automovil,True,mazda 3,Sedan
467,mazda,323,automovil,True,mazda 323,Sedan
468,mazda,5,station wagon,True,mazda 5,Station Wagon
469,mazda,6,automovil,True,mazda 6,Sedan
470,mazda,626,automovil,True,mazda 626,Sedan
471,mazda,929,automovil,True,mazda 929,Sedan
472,mazda,artis,automovil,True,mazda artis,Sedan
473,mazda,b2000,camioneta,True,mazda b2000,Hatchback
474,mazda,b2200,camioneta,True,mazda b2200,Hatchback
475,mazda,b2600,camioneta,True,mazda b2600,Sedan
476,mazda,b2900,camioneta,True,mazda b2900,Sedan
477,mazda,biante,station wagon,True,mazda biante,Station Wagon
478,mazda,bongo,station wagon,True,mazda bongo,Van
479,mazda,bt50,camioneta,True,mazda bt50,Station Wagon
480,mazda,cx3,station wagon,True,mazda cx3,Hatchback
481,mazda,cx30,station wagon,True,mazda cx30,Hatchback
482,mazda,cx5,station wagon,True,mazda cx5,SUV
483,mazda,cx7,station wagon,True,mazda cx7,SUV
484,mazda,cx9,station wagon,True,mazda cx9,SUV
485,mazda,mx5,automovil,True,mazda mx5,Convertible
486,mazda,protege,automovil,True,mazda protege,Sedan
487,mazda,rx7,automovil,True,mazda rx7,Coupe
488,mazda,rx8,automovil,True,mazda rx8,Coupe
489,mazda,tribute,station wagon,True,mazda tribute,SUV
490,mazda,verisa,station wagon,True,mazda verisa,Hatchback
491,mercedes benz,a,automovil,False,mercedes benz a,Sedan
492,mercedes benz,amg gt,automovil,False,mercedes benz amg gt,Coupe
493,mercedes benz,b,automovil,False,mercedes benz b,Sedan
494,mercedes benz,c,automovil,False,mercedes benz c,Sedan
495,mercedes benz,c63,automovil,False,mercedes benz c63,Sedan
